SORT,Begrotingsprogramma,THEMA,Variabele,Label,Labelkort,Definitie,Bron,Peildatum,Verschijningsfrequentie,Rekeneenheid,Symbool,GROEP,format,Thema Kerncijfertabel,Kleurenpalet,LegendaCode,SD minimum Bevtotaal,SD minimum WvoorrBAG,Geenkerncijfer
231,Bevolking,Bevolking,BEVTURK,Migratieachtergrond: Turks,Turks,"Het aantal Amsterdammers met geboorteland Turkije of van wie een van de ouders is geboren in Turkije. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,migratieachtergrond,F8.,,9,3,0,0,0
241,Bevolking,Bevolking,BEVMAROK,Migratieachtergrond: Marokkaans,Marokkaans,"Het aantal Amsterdammers met geboorteland Marokko of van wie een van de ouders is geboren in Marokko. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,migratieachtergrond,F8.,,9,3,0,0,0
251,Bevolking,Bevolking,BEVOVNW,Migratieachtergrond: Overig niet-westers,Overig niet-westers,"Het aantal Amsterdammers met geboorte in een overig niet-westers land of van wie een van de ouders is geboren in een overig niet-westers land. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader. Overige niet-westerse landen zijn landen in de werelddelen Afrika, Latijns-Amerika en Azië exclusief Indonesië, Japan, Suriname, de (voormalige) Nederlandse Antillen, Turkije en Marokko.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,migratieachtergrond,F8.,,9,3,0,0,0
261,Bevolking,Bevolking,BEVWEST,Migratieachtergrond: Westers,Westers,"Het aantal Amsterdammers met geboorte in een westers land of van wie een van de ouders is geboren in een westers land. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader. Westerse landen zijn landen in Europa (exclusief Turkije en Nederland), Noord-Amerika en Oceanië, of Indonesië of Japan.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,migratieachtergrond,F8.,,9,3,0,0,0
271,Bevolking,Bevolking,BEVAUTOCH,Migratieachtergrond: Nederlands,Geen migratieachtergrond,"Het aantal Amsterdammers van wie de beide ouders in Nederland zijn geboren, ongeacht het land waar men zelf is geboren.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,migratieachtergrond,F8.,,9,3,0,0,0
281,Bevolking,Bevolking,BEVSUR_P,Migratieachtergrond: % Surinaams,Surinaams (%),"Het aandeel Amsterdammers met geboorteland Suriname of van wie een van de ouders is geboren in Suriname. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,migratieachtergrond%,F5.1,,1,2,0,0,0
291,Bevolking,Bevolking,BEVANTIL_P,Migratieachtergrond: % Antilliaans,Antilliaans (%),"Het aandeel Amsterdammers met geboorteland de (voormalige) Nederlandse Antillen of van wie een van de ouders is geboren in de (voormalige) Nederlandse Antillen. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,migratieachtergrond%,F5.1,,1,2,0,0,0
301,Bevolking,Bevolking,BEVTURK_P,Migratieachtergrond: % Turks,Turks (%),"Het aandeel Amsterdammers met geboorteland Turkije of van wie een van de ouders is geboren in Turkije. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,migratieachtergrond%,F5.1,,1,2,0,0,0
311,Bevolking,Bevolking,BEVMAROK_P,Migratieachtergrond: % Marokkaans,Marokkaans (%),"Het aandeel Amsterdammers met geboorteland Marokko of van wie een van de ouders is geboren in Marokko. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,migratieachtergrond%,F5.1,,1,2,0,0,0
321,Bevolking,Bevolking,BEVOVNW_P,Migratieachtergrond: % overig niet-westers,Overig niet-westers (%),"Het aandeel Amsterdammers met geboorte in een overig niet-westers land of van wie een van de ouders is geboren in een overig niet-westers land. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader. Overig niet-westerse landen zijn landen in de werelddelen Afrika, Latijns-Amerika en Azië, exclusief Indonesië, Japan, Suriname, de (voormalige) Nederlandse Antillen, Turkije en Marokko.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,migratieachtergrond%,F5.1,,1,2,0,0,0
331,Bevolking,Bevolking,BEVWEST_P,Migratieachtergrond: % Westers,Westers (%),"Het aandeel Amsterdammers met geboorte in een westers land of van wie een van de ouders is geboren in een westers land. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader. Westerse landen zijn landen in Europa (exclusief Nederland en Turkije), Noord-Amerika en Oceanië, of Indonesië of Japan.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,migratie3%,F5.1,,1,2,0,0,0
341,Bevolking,Bevolking,BEVAUTOCH_P,Migratieachtergrond: % Nederlands,Geen migratieachtergrond (%),"Het aandeel Amsterdammers van wie de beide ouders in Nederland zijn geboren, ongeacht het land waar men zelf is geboren.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,migratie3%,F5.1,,1,2,0,0,0
351,Bevolking,Bevolking,BEVNW,Migratieachtergrond: niet-westers,Niet-westers,"Het aantal Amsterdammers met geboorte in een niet-westers land of van wie een van de ouders is geboren in een niet-westers land. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader. Niet-westerse landen zijn Marokko, Turkije, Suriname, de (voormalige) Nederlandse Antillen en de overige landen in de werelddelen Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,,F8.,,9,3,0,0,0
361,Bevolking,Bevolking,BEVNW_P,Migratieachtergrond: % niet-westers,Niet-westers (%),"Het aandeel Amsterdammers met geboorte in een niet-westers land of van wie een van de ouders is geboren in een niet-westers land. Het geboorteland van de moeder is bepalend voor de migratieachtergrond, tenzij de moeder in Nederland is geboren. In dat geval wordt de migratieachtergrond bepaald aan de hand van het geboorteland van de vader. Niet-westerse landen zijn Marokko, Turkije, Suriname, de (voormalige) Nederlandse Antillen en de overige landen in de werelddelen Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,migratie3%,F5.1,Bevolking,1,2,0,0,0
371,Bevolking,Bevolking,BEVEGNW,Eerste generatie niet-westers,1e generatie niet-westers,Het aantal Amsterdammers met een niet-westerse migratieachtergrond dat niet in Nederland is geboren.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,Eerste generatie,F8.,,9,3,0,0,0
381,Bevolking,Bevolking,BEVEGWEST,Eerste generatie westers,1e generatie westers,Het aantal Amsterdammers met een westerse migratieachtergrond dat niet in Nederland is geboren.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,Eerste generatie,F8.,,9,3,0,0,0
391,Bevolking,Bevolking,BEVNSTEDELING,Nieuwe stedelingen,Nieuwe stedelingen,"Nieuwe stedelingen zijn personen met een Nederlandse of westerse migratieachtergrond (exclusief Oost-Europa)  in de leeftijd van 18 tot en met 54 jaar, die na hun 18e levensjaar geregistreerd zijn in de gemeente Amsterdam.  

",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
401,Bevolking,Bevolking,BEVNSTEDELING_P,Nieuwe stedelingen (%),Nieuwe stedelingen (%),"Aandeel in de bevolking van personen met een Nederlandse of westerse migratieachtergrond (exclusief Oost-Europa) , in de leeftijd 18 tot en met 54 jaar, die na hun 18e levensjaar geregistreerd zijn in de gemeente Amsterdam.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,,F5.1,Bevolking,1,2,0,0,0
411,Bevolking,Bevolking,BEVOPLLAAG_P,Opleiding laag (%),Opleiding laag (%),"Aandeel laag opgeleide inwoners van de bevolking van 15 tot en met 74  jaar (maximaal VMBO).

Tot en met 2013 zijn de cijfers op wijkniveau gebaseerd op de gebiedsindeling van 2010. Vanaf 2014 sluiten de cijfers voor wijken aan op de gebiedsindeling van 1-1-2015.

In 2015 is er een trendbreuk door aanpassingen in de berekeningswijze van het CBS. Cijfers op wijkniveau of kleiner zijn ongewogen.",CBS / bewerking OIS,30 september,1 keer per jaar,1,%,opleidingsniveau%,F8.,"Werk, inkomen en participatie",1,2,0,0,0
421,Bevolking,Bevolking,BEVOPLMID_P,Opleiding middelbaar (%),Opleiding middelbaar (%),"Aandeel middelbaar opgeleide inwoners van de bevolking van 15 tot en met 74 jaar (MBO, Havo, VWO).

Tot en met 2013 zijn de cijfers op wijkniveau gebaseerd op de gebiedsindeling van 2010. Vanaf 2014 sluiten de cijfers voor wijken aan op de gebiedsindeling van 1-1-2015.

In 2015 is er een trendbreuk door aanpassingen in de berekeningswijze van het CBS. Cijfers op wijkniveau of kleiner zijn ongewogen.",CBS / bewerking OIS,30 september,1 keer per jaar,1,%,opleidingsniveau%,F8.,,1,2,0,0,0
431,Bevolking,Bevolking,BEVOPLHOOG_P,Opleiding hoog (%),Opleiding hoog (%),"Aandeel hoog opgeleide inwoners van de bevolking van 15 tot en met 74 jaar (HBO of universiteit).

Tot en met 2013 zijn de cijfers op wijkniveau gebaseerd op de gebiedsindeling van 2010. Vanaf 2014 sluiten de cijfers voor wijken aan op de gebiedsindeling van 1-1-2015.

In 2015 is er een trendbreuk door aanpassingen in de berekeningswijze van het CBS. Cijfers op wijkniveau of kleiner zijn ongewogen.",CBS / bewerking OIS,30 september,1 keer per jaar,1,%,opleidingsniveau%,F8.,,1,2,0,0,0
441,Bevolking,Bevolking,BEVHUISHOUDENHH,Huishoudens: totaal,Huishoudens,"Een huishouden bestaat uit één of meer personen die alleen of samen een leefeenheid vormen; dit uit zich bijvoorbeeld in het gebruik van een gemeenschappelijke woonkamer of keuken. Huishoudens zijn dus gezinnen, samenwonenden, woongroepen en alleenstaanden die een zelfstandig huishouding voeren.
",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,,F8.,Bevolking,9,3,0,0,0
451,Bevolking,Bevolking,BEVGEHZKINDHH,Huishoudens: gehuwd zonder kinderen,Gehuwd zonder kinderen (hh),Het huishoudentype 'gehuwd samenwonend zonder kinderen' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Dit type huishouden bestaat uit twee meerderjarige bewoners die volgens de GBA met elkaar wettig in de echt verbonden zijn.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,huishoudsamenstelling,F8.,,9,3,0,0,0
461,Bevolking,Bevolking,BEVGEHMKINDHH,Huishoudens: gehuwd met kinderen,Gehuwd met kinderen (hh),Het huishoudentype 'gehuwd samenwonend met kinderen' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Dit type huishouden bestaat uit twee meerderjarige bewoners die volgens de GBA met elkaar wettig in de echt verbonden zijn en een of meerdere ongehuwde bewoners die wettige kind(eren) zijn van een of beide meerderjarige bewoners op dit adres.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,huishoudsamenstelling,F8.,,9,3,0,0,0
471,Bevolking,Bevolking,BEVONGEHZKINDHH,Huishoudens: ongehuwd zonder kinderen,Ongehuwd zonder kinderen (hh),Het huishoudentype 'ongehuwd samenwonend zonder kinderen' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Dit type huishouden bestaat uit twee meerderjarige bewoners die volgens de GBA niet wettig in de echt verbonden zijn.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,huishoudsamenstelling,F8.,,9,3,0,0,0
481,Bevolking,Bevolking,BEVONGEHMKINDHH,Huishoudens: ongehuwd met kinderen,Ongehuwd met kinderen (hh),Het huishoudentype 'samenwonend met kinderen' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Dit type huishouden bestaat uit twee meerderjarige bewoners die volgens de GBA met elkaar niet wettig in de echt verbonden zijn en een of meerdere ongehuwde bewoners die wettige kind(eren) zijn van een of beide meerderjarige bewoners op dit adres.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,huishoudsamenstelling,F8.,,9,3,0,0,0
491,Bevolking,Bevolking,BEVEENOUDERHH,Huishoudens: eenoudergezin,Eenoudergezin (hh),Het huishoudentype 'eenoudergezin' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Dit type huishouden bestaat uit een meerderjarige bewoner en een of meerdere ongehuwde bewoners die wettige kind(eren) zijn van de meerderjarige bewoner op dit adres.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,huishoudsamenstelling,F8.,,9,3,0,0,0
501,Bevolking,Bevolking,BEVALLEENHH,Huishoudens: eenpersoonshuishoudens,Eenpersoonshuishoudens,"Het huishoudentype 'alleenstaand' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Dit type huishouden bestaat uit een meerderjarige persoon die alleen een huishouden voert (eenpersoonshuishouden), behalve
alleenwonenden vallen hier ook kamerbewoners onder.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,huishoudsamenstelling,F8.,,9,3,0,0,0
511,Bevolking,Bevolking,BEVOVERIGHH,Huishoudens: overig,Huishoudens: overig,"Het huishoudentype 'overig' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Hieronder vallen diverse combinaties die anders zijn dan 'samenwonend/gehuwd met kinderen', 'samenwonend/gehuwd zonder kinderen', 'eenoudergezin' en 'alleenstaand'. Voorbeelden van het type 'overig' zijn drie meerderjarige bewoners op een adres, die geen wettige relatie met elkaar hebben of bewoners van een woongroep.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,huishoudsamenstelling,F8.,,9,3,0,0,0
521,Bevolking,Bevolking,BEVEENOUDERHH_P,Huishoudens: % eenoudergezin,Eenoudergezin (%hh),Aandeel huishoudens dat gevormd wordt  door een  meerderjarige bewoner en een of meerdere ongehuwde wettige kind(eren).,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,huishoudsamenstelling%,F5.1,Bevolking,1,2,0,0,0
531,Bevolking,Bevolking,BEVALLEENHH_P,Huishoudens: % eenpersoons,Eenpersoonshuishoudens (%hh),"Aandeel huishoudens dat bestaat uit een persoon die alleen een huishouden voert (eenpersoonshuishouden), behalve alleenwonenden vallen hier ook kamerbewoners onder.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,huishoudsamenstelling%,F5.1,Bevolking,1,2,0,0,0
541,Bevolking,Bevolking,BEVPAARZKINDHH_P,Huishoudens: % stel zonder kinderen,Stel zonder kinderen (%hh),Aandeel huishoudens dat bestaat uit gehuwd of ongehuwd samenwonenden zonder kinderen,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,huishoudsamenstelling%,F5.1,,1,2,0,0,0
551,Bevolking,Bevolking,BEVPAARMKINDHH_P,Huishoudens: % stel met kinderen,Stel met kinderen (%hh),Aandeel huishoudens dat bestaat uit gehuwd of ongehuwd samenwonenden met thuiswonende ongehuwde kinderen,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,huishoudsamenstelling%,F5.1,Bevolking,1,2,0,0,0
561,Bevolking,Bevolking,BEVOVERIGHH_P,Huishoudens: % overig,Huishoudens overig (%hh),"Het huishoudentype 'overig' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Hieronder vallen diverse combinaties die anders zijn dan 'samenwonend/gehuwd met kinderen', 'samenwonend/gehuwd zonder kinderen', 'eenoudergezin' en 'alleenstaand'. Voorbeelden van het type 'overig' zijn drie meerderjarige bewoners op een adres, die geen wettige relatie met elkaar hebben of bewoners van een woongroep.",Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,huishoudsamenstelling%,F5.1,,1,2,0,0,0
571,Bevolking,Bevolking,BEVHHMKIND,Huishoudens: met kinderen,Huishoudens met kinderen,Aantal huishoudens met ongehuwde thuiswonende kinderen.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
581,Bevolking,Bevolking,BEVHHMKIND_P,Huishoudens: % met kinderen,Huishoudens met kinderen (%),Aandeel huishoudens met ongehuwde thuiswonende kinderen.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
591,Bevolking,Bevolking,BEV1P80PLUS,Alleenwonend 80+,Alleenwonend 80+,Alleenwonenden van 80 jaar en ouder,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
601,Bevolking,Bevolking,BEV1P80PLUS_P,Alleenwonend 80+ (%),Alleenwonend 80+ (%),Aandeel zelfstandig alleenwonenden van 80 jaar en ouder op de totale bevolking.,Afd. Basisinformatie / OIS,1  januari,1 keer per jaar,2,%,,F5.1,,1,2,0,0,0
